lipid,p value,95% CI lower,95% CI upper,effect size,SARS-CoV-2 (-) median concentration,SARS-CoV-2 (+) median concentration,median concentration difference,BH q value
LPC(18:2),0.0028,1.9,8.9,0.5,13,6.5,-6.5,0.04362909090909091
LPC(20:2),0.0028,0.023,0.084,0.5,0.14,0.087,-0.053,0.04362909090909091
PC(20:0_20:2),0.0028,0.0053,0.02,0.5,0.028,0.012,-0.016,0.04362909090909091
PE(P-18:0_16:0),0.0028,0.026,0.12,0.5,0.18,0.11,-0.07,0.04362909090909091
CE(14:0),0.0038,0.53,2.7,0.49,3.3,1.3,-2,0.05614827586206897
PI(16:0_20:3),0.0038,0.32,1.3,0.49,1.6,0.59,-1,0.05614827586206897
PI(20:0_18:2),0.0038,0.092,0.45,0.49,0.56,0.2,-0.36,0.05614827586206897
CER(18:0),0.005,-0.15,-0.027,0.48,0.099,0.19,0.091,0.06492424242424243
DCER(22:1),0.0044,0.13,0.86,0.48,1.2,0.58,-0.62,0.06284666666666668
PC(18:0_20:1),0.005,0.084,0.53,0.48,0.79,0.47,-0.32,0.06492424242424243
PC(18:2_22:5),0.005,0.021,0.087,0.48,0.12,0.053,-0.067,0.06492424242424243
PC(20:0_22:4),0.005,0.0019,0.011,0.48,0.016,0.0094,-0.0066,0.06492424242424243
PE(O-18:0_20:3),0.005,0.032,0.19,0.48,0.22,0.1,-0.12,0.06492424242424243
PE(P-18:1_16:0),0.005,0.0085,0.068,0.48,0.086,0.055,-0.031,0.06492424242424243
PG(20:0_22:5),0.0044,0.0014,0.01,0.48,0.026,0.02,-0.006,0.06284666666666668
PC(14:0_18:3),0.0058,0.0051,0.029,0.47,0.029,0.0088,-0.02,0.0730970588235294
PE(P-16:0_18:1),0.0058,0.04,0.24,0.47,0.42,0.28,-0.14,0.0730970588235294
CE(20:0),0.0076,4.6e-4,0.0028,0.46,0.0031,0.0015,-0.0016,0.08458701298701299
HCER(22:0),0.0066,0.27,1.1,0.46,2,1.2,-0.8,0.07643513513513513
HCER(d18:0_22:0),0.0066,0.0066,0.024,0.46,0.045,0.026,-0.019,0.07643513513513513
LCER(14:0),0.0076,0.015,0.1,0.46,0.14,0.092,-0.048,0.08458701298701299
PC(20:0_22:5),0.0066,0.012,0.062,0.46,0.081,0.044,-0.037,0.07643513513513513
PG(18:1_20:4),0.0066,-0.0064,-9.8e-4,0.46,0.012,0.016,0.004,0.07643513513513513
PI(18:0_18:1),0.0066,0.76,5.2,0.46,5.9,3.1,-2.8,0.07643513513513513
PI(18:0_20:2),0.0066,0.04,0.21,0.46,0.22,0.098,-0.12,0.07643513513513513
PI(18:2_18:2),0.0076,0.013,0.12,0.46,0.11,0.051,-0.059,0.08458701298701299
HCER(24:0),0.0086,0.43,2.1,0.45,3.4,1.9,-1.5,0.08570000000000001
LCER(24:0),0.0086,0.032,0.19,0.45,0.4,0.29,-0.11,0.08570000000000001
LPE(20:0),0.0086,0.0015,0.014,0.45,0.022,0.012,-0.01,0.08570000000000001
PC(16:0_20:1),0.0086,0.054,0.39,0.45,0.73,0.52,-0.21,0.08570000000000001
PC(18:0_20:2),0.0086,0.45,4.2,0.45,5.5,2.7,-2.8,0.08570000000000001
PC(18:1_20:2),0.0086,0.019,0.15,0.45,0.23,0.15,-0.08,0.08570000000000001
PG(20:0_18:1),0.0086,0.0074,0.054,0.45,0.11,0.087,-0.023,0.08570000000000001
PI(18:1_18:2),0.0086,0.18,2.1,0.45,2.1,0.91,-1.2,0.08570000000000001
SM(14:0),0.0086,0.25,1.2,0.45,2.3,1.5,-0.8,0.08570000000000001
DCER(18:0),0.0098,-0.42,-0.058,0.44,0.28,0.52,0.24,0.09436629213483146
HCER(d18:0_24:0),0.011,0.0074,0.047,0.44,0.075,0.04,-0.035,0.10028723404255319
LPC(18:1),0.011,1.3,6.2,0.44,13,8.8,-4.2,0.10028723404255319
PC(14:0_14:0),0.011,0.0098,0.083,0.44,0.057,0.019,-0.038,0.10028723404255319
PC(14:0_18:1),0.0098,0.1,0.52,0.44,0.61,0.28,-0.33,0.09436629213483146
PC(14:0_20:5),0.011,0.0013,0.022,0.44,0.018,0.0041,-0.014,0.10028723404255319
PC(18:0_14:0),0.011,0.0045,0.039,0.44,0.046,0.023,-0.023,0.10028723404255319
PE(18:2_20:3),0.0098,0.027,0.23,0.44,0.26,0.11,-0.15,0.09436629213483146
CER(26:0),0.012,0.035,0.16,0.43,0.22,0.087,-0.13,0.10284
